Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link
991 6972 5895,Community Development Block Grant Committee: Meeting of June 4,5:00:00 PM,6/4/2020 16:50,7:20 PM,2:30:17,39,No,https://madison.legistar.com/View.ashx?M=A&ID=737930&GUID=5B591F52-4049-4125-9FB3-1DF6C7201A37,https://madison.legistar.com/View.ashx?M=M&ID=737930&GUID=5B591F52-4049-4125-9FB3-1DF6C7201A37
916 8581 5937,Madison Public Library Board,5:00:00 PM,6/4/2020 16:55,6:37 PM,1:42:50,47,No,https://madison.legistar.com/View.ashx?M=A&ID=721765&GUID=3E8E11BF-60BF-4E01-B492-D7D1DAD85086,https://madison.legistar.com/View.ashx?M=M&ID=721765&GUID=3E8E11BF-60BF-4E01-B492-D7D1DAD85086
985 1715 2979,"Plan Commission: Meeting of June 8, 2020",5:30:00 PM,6/8/2020 16:36,8:26 PM,3:50:09,63,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724488&GUID=8B9DEB03-DC91-4DD4-A945-2D75B962C4AB,https://madison.legistar.com/View.ashx?M=M&ID=724488&GUID=8B9DEB03-DC91-4DD4-A945-2D75B962C4AB
923 1449 1901,Equal Opportunities Commission Executive Committee Meeting,,6/8/2020 16:46,5:18 PM,0:31:36,10,Yes,,
917 0351 7132,Complete Count Committee,3:00:00 PM,6/9/2020 14:47,4:28 PM,1:40:24,18,No,https://madison.legistar.com/View.ashx?M=A&ID=786767&GUID=5D61CB55-63A0-427B-A6B7-360BC655B302,https://madison.legistar.com/View.ashx?M=M&ID=786767&GUID=5D61CB55-63A0-427B-A6B7-360BC655B302
986 5340 8301,"Finance Committee: Meeting of June 9, 2020",4:30:00 PM,6/9/2020 15:26,7:34 PM,4:08:16,70,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726496&GUID=7600C0AB-DA09-4AB0-9781-3938D463E351,https://madison.legistar.com/View.ashx?M=M&ID=726496&GUID=7600C0AB-DA09-4AB0-9781-3938D463E351
915 4833 7093,Public Safety Review Committee,5:00:00 PM,6/10/2020 15:55,9:15 PM,5:19:37,106,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726590&GUID=BF5D439C-B1B2-4229-BA8E-6A836141F95F,https://madison.legistar.com/View.ashx?M=M&ID=726590&GUID=BF5D439C-B1B2-4229-BA8E-6A836141F95F
952 9959 5041,"Board of Park Commissioners:  Meeting of June 10, 2020",6:30:00 PM,6/10/2020 18:01,10:34 PM,4:33:16,128,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724812&GUID=16485608-C321-4E8A-B366-BE40E67598C5,https://madison.legistar.com/View.ashx?M=M&ID=724812&GUID=16485608-C321-4E8A-B366-BE40E67598C5
972 6501 2450,President's Work Group on Council Communication Tools & Processes,12:00:00 PM,6/11/2020 11:38,2:01 PM,2:22:56,19,No,https://madison.legistar.com/View.ashx?M=A&ID=791377&GUID=B097D860-95A0-4576-BE4E-002CB5DCC44E,https://madison.legistar.com/View.ashx?M=M&ID=791377&GUID=B097D860-95A0-4576-BE4E-002CB5DCC44E
937 1066 4876,"CDA Board: Meeting of June 11, 2020",4:30:00 PM,6/11/2020 16:22,5:10 PM,0:47:49,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=743428&GUID=65EB7DC4-3193-493D-B714-7E7F5465ADD7,https://madison.legistar.com/View.ashx?M=M&ID=743428&GUID=65EB7DC4-3193-493D-B714-7E7F5465ADD7
997 5865 3044,Equal Opportunities Commission ,5:00:00 PM,6/11/2020 16:40,8:17 PM,3:36:54,38,Yes,https://madison.legistar.com/View.ashx?M=A&ID=769598&GUID=D56D5F76-9F61-4028-8A49-1D25048DCA96,
973 8980 2291,"Common Council Executive Committee Meeting of June 11, 2020",6:30:00 PM,6/11/2020 17:23,7:27 PM,2:03:38,31,Yes,https://madison.legistar.com/View.ashx?M=A&ID=791869&GUID=6E09C313-240C-493D-8193-D545F46D1CF7,https://madison.legistar.com/View.ashx?M=M&ID=791869&GUID=6E09C313-240C-493D-8193-D545F46D1CF7
919 6166 1744,"Transportation Policy and Planning Board : Meeting of June 15, 2020",5:00:00 PM,6/15/2020 16:00,8:08 PM,4:08:02,37,Yes,https://madison.legistar.com/View.ashx?M=A&ID=749829&GUID=FE2DDF81-7AA6-411D-8AF8-D225E6130EA0,https://madison.legistar.com/View.ashx?M=M&ID=749829&GUID=FE2DDF81-7AA6-411D-8AF8-D225E6130EA0
946 7187 1095,"BOARD OF BUILDING CODE, FIRE CODE, CONVEYANCE CODE AND LICENSING APPEALS: JUNE 16, 2020",12:15:00 PM,6/16/2020 12:09,12:46 PM,0:36:12,27,No,https://madison.legistar.com/View.ashx?M=A&ID=749321&GUID=96C82C24-DAF3-4D94-AFD5-5EB4CE4E5B01,https://madison.legistar.com/View.ashx?M=M&ID=749321&GUID=96C82C24-DAF3-4D94-AFD5-5EB4CE4E5B01
970 0941 5233,"Common Council Executive Committee: Meeting of June 16, 2020",4:30:00 PM,6/16/2020 15:36,5:20 PM,1:43:52,38,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724052&GUID=A7A835BB-861D-4ED0-89CD-2A48AFD813D4,https://madison.legistar.com/View.ashx?M=M&ID=724052&GUID=A7A835BB-861D-4ED0-89CD-2A48AFD813D4
953 0231 4913,"Common Council: Meeting of June 16, 2020",6:30:00 PM,6/16/2020 17:03,10:10 PM,5:06:44,147,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715271&GUID=590D1D26-B84A-4840-9B34-310F47CC9B9A,https://madison.legistar.com/View.ashx?M=M&ID=715271&GUID=590D1D26-B84A-4840-9B34-310F47CC9B9A
942 8840 9686,"Board of Public Works: Meeting of June 17, 2020",4:30:00 PM,6/17/2020 15:21,6:11 PM,2:50:20,30,Yes,https://madison.legistar.com/View.ashx?M=A&ID=718261&GUID=7B56AB82-2FE8-456D-85DF-270A1D090C2B,https://madison.legistar.com/View.ashx?M=M&ID=718261&GUID=7B56AB82-2FE8-456D-85DF-270A1D090C2B
963 1482 8065,"Economic Development Committee: Meeting of June 17, 2020",5:00:00 PM,6/17/2020 16:29,7:24 PM,2:55:17,44,No,https://madison.legistar.com/View.ashx?M=A&ID=763957&GUID=4D61E4F5-AF3B-404F-9347-6119CB058764,https://madison.legistar.com/View.ashx?M=M&ID=763957&GUID=4D61E4F5-AF3B-404F-9347-6119CB058764
933 0048 5844,"Alcohol License Review Committee: Meeting of June 17, 2020",5:30:00 PM,6/17/2020 16:30,12:20 AM(Next day),7:49:45,103,Yes,https://madison.legistar.com/View.ashx?M=A&ID=715293&GUID=D6945FA9-707C-4E0C-B61A-F9120FF41C4D,https://madison.legistar.com/View.ashx?M=M&ID=715293&GUID=D6945FA9-707C-4E0C-B61A-F9120FF41C4D
957 5195 2082,"Madison AreaMadison Area Transportation Planning Board (MPO) Citizen Advisory Committee:  Meeting of June 17, 2020",,6/17/2020 17:15,7:06 PM,1:50:29,21,No,,
928 2089 1821,"Monona Terrace Community & Convention Center Board Finance Subcommittee Meeting: June 18, 2020",,6/18/2020 14:33,3:51 PM,1:18:23,20,No,,
987 7370 1271,"Monona Terrace Community & Convention Center Board Meeting: June 18, 2020",4:00:00 PM,6/18/2020 15:51,5:55 PM,2:03:13,36,Yes,https://madison.legistar.com/View.ashx?M=A&ID=742253&GUID=DF30E690-E070-4AC4-8FC7-511D5E41C6CE,https://madison.legistar.com/View.ashx?M=M&ID=742253&GUID=DF30E690-E070-4AC4-8FC7-511D5E41C6CE
936 3625 7346,"PSRC Budget Policy Workgroup: Meeting of June 22, 2020",,6/22/2020 13:11,3:36 PM,2:24:41,21,No,,
950 5776 1294,"Finance Committee Meeting of Monday June 22, 2020",4:30:00 PM,6/22/2020 15:35,7:29 PM,3:54:19,69,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726497&GUID=4171FD3F-A45B-45F3-BAAF-4C4B7F040302,https://madison.legistar.com/View.ashx?M=M&ID=726497&GUID=4171FD3F-A45B-45F3-BAAF-4C4B7F040302
997 8297 6106,"PSRC Protest Policy Review Workgroup: Meeting of June 23, 2020",,6/23/2020 13:40,3:24 PM,1:44:18,18,Yes,,
972 0694 4244,"Sustainable Madison Committee Meeting of June 23, 2020",4:30:00 PM,6/23/2020 16:05,8:35 PM,4:30:02,117,No,https://madison.legistar.com/View.ashx?M=A&ID=743656&GUID=3B08C705-AD07-4A47-B9CD-3029937F6166,https://madison.legistar.com/View.ashx?M=M&ID=743656&GUID=3B08C705-AD07-4A47-B9CD-3029937F6166
994 1657 0788,"Water Utility Board: Meeting of June 23, 2020",4:30:00 PM,6/23/2020 16:11,6:31 PM,2:20:12,32,Yes,https://madison.legistar.com/View.ashx?M=A&ID=721269&GUID=E62DDC67-0CC2-403E-8381-DCDC8D00D49F,https://madison.legistar.com/View.ashx?M=M&ID=721269&GUID=E62DDC67-0CC2-403E-8381-DCDC8D00D49F
985 1662 4446,"MATPB (MPO) Technical Coordinating Committee:  Meeting of June 24, 2020",,6/24/2020 13:47,3:37 PM,1:49:33,51,Yes,,
914 0770 8168,"Transportation Commission: Meeting of June 24, 2020",5:00:00 PM,6/24/2020 15:51,9:08 PM,5:16:20,49,Yes,https://madison.legistar.com/View.ashx?M=A&ID=739139&GUID=30B486CD-DBAB-4B64-85CA-4BD1E5BFC5E1,https://madison.legistar.com/View.ashx?M=M&ID=739139&GUID=30B486CD-DBAB-4B64-85CA-4BD1E5BFC5E1
983 9540 8155,"Community Services Committee of June 24, 2020",5:30:00 PM,6/24/2020 17:03,7:38 PM,2:34:43,36,No,https://madison.legistar.com/View.ashx?M=A&ID=735826&GUID=5DFEE150-01BA-4662-A6B9-46B21247FA13,https://madison.legistar.com/View.ashx?M=M&ID=735826&GUID=5DFEE150-01BA-4662-A6B9-46B21247FA13
944 8928 6257,"Housing Strategy Committee: Meeting of June 25, 2020",4:30:00 PM,6/25/2020 16:16,7:35 PM,3:19:17,82,Yes,https://madison.legistar.com/View.ashx?M=A&ID=722689&GUID=E252637B-D4EC-442A-A3AC-C2167997DE12,https://madison.legistar.com/View.ashx?M=M&ID=722689&GUID=E252637B-D4EC-442A-A3AC-C2167997DE12
944 9999 2300,"Alder Work Group on MPD Oversight: Meeting of June 25th, 2020",5:30:00 PM,6/25/2020 16:19,6:30 PM,2:10:48,80,Yes,https://madison.legistar.com/View.ashx?M=A&ID=795100&GUID=3F90E3C4-D99F-4FC5-80CB-C334B4E33765,https://madison.legistar.com/View.ashx?M=M&ID=795100&GUID=3F90E3C4-D99F-4FC5-80CB-C334B4E33765
