date_applicable,total_tonnage,recycling_tonnage,refuse_tonnage,OBJECTID
7/30/2020,183.41,69.5,183.41,323
7/31/2020,166.23,59.95,166.23,324
8/3/2020,207.93,67.38,207.93,325
8/4/2020,194.5,63.1,194.5,326
8/5/2020,233.52,67.45,233.52,327
8/6/2020,193.98,77.85,193.98,328
8/7/2020,177.66,59.67,177.66,329
8/10/2020,205.96,75.58,205.96,330
8/11/2020,186.64,63.41,186.64,331
8/12/2020,246.67,89.85,246.67,332
8/13/2020,194.58,67.74,194.58,333
8/14/2020,179.24,67.09,179.24,334
8/17/2020,210.89,71.88,210.89,335
8/18/2020,187.2,60.46,187.2,336
8/19/2020,227.31,65.6,227.31,337
8/20/2020,183.48,77.22,183.48,338
8/21/2020,176.18,61.51,176.18,339
