Meeting_ID,Topic,Scheduled_Start_Time,Zoom_Meeting_Start_Time,Zoom_Meeting_End_Time,Duration,Participants,Recording,Agenda_Link,Minutes_Link,Start_Date,Start_Time,Meeting_Duration,Committee
977 3088 2043,"Housing Strategy Committee: Meeting of July 23, 2020",4:30:00 PM,2020-07-23 15:22:00,2020-07-23 18:24:00,3:02:01,35,No,https://madison.legistar.com/View.ashx?M=A&ID=798128&GUID=26211B73-BFEC-483D-BD1E-B7542E64B62C,https://madison.legistar.com/View.ashx?M=M&ID=798128&GUID=26211B73-BFEC-483D-BD1E-B7542E64B62C,7/23/2020,15:22,0 days 03:02:00.000000000,Housing Strategy Committee
918 5806 3820,"Alder Workgroup to Develop Logistical and Operational Details for MPD Independent Civilian Oversight: Meeting of July 23, 2020",5:00:00 PM,2020-07-23 16:32:00,2020-07-23 20:13:00,3:40:40,56,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796974&GUID=005E0FD6-A2FF-4E72-A599-0E650A12B575,https://madison.legistar.com/View.ashx?M=M&ID=796974&GUID=005E0FD6-A2FF-4E72-A599-0E650A12B575,7/23/2020,16:32,0 days 03:41:00.000000000,Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight
948 9868 2730,"Task Force on Municipal Golf in Madison Parks: Meeting of July 23, 2020",6:00:00 PM,2020-07-23 17:39:00,2020-07-23 21:11:00,3:32:00,78,Yes,https://madison.legistar.com/View.ashx?M=A&ID=797919&GUID=1C52CF36-1F3B-4BB3-9A4F-E954ACD8D49E,https://madison.legistar.com/View.ashx?M=M&ID=797919&GUID=1C52CF36-1F3B-4BB3-9A4F-E954ACD8D49E,7/23/2020,17:39,0 days 03:32:00.000000000,Task Force on Golf in Madison Parks
999 8685 3080,"Ad Hoc Task Force on the Structure of City Government (TFOGS) Final Report Implementation Work Group: Meeting of July 24, 2020",3:15:00 PM,2020-07-24 14:55:00,2020-07-24 17:00:00,2:05:29,21,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796977&GUID=923C7D3D-D33B-49B3-B240-C11C41C72F0F,https://madison.legistar.com/View.ashx?M=M&ID=796977&GUID=923C7D3D-D33B-49B3-B240-C11C41C72F0F,7/24/2020,14:55,0 days 02:05:00.000000000,Ad Hoc Task Force on the Structure of City Government (TFOGS) Final Report Implementation Work Group
948 2012 0634,"Alder Workgroup to Develop Logistical and Operational Details for MPD Independent Civilian Oversight: Meeting of July 27, 2020",12:30:00 PM,2020-07-27 11:54:00,2020-07-27 14:26:00,2:31:37,56,Yes,https://madison.legistar.com/View.ashx?M=A&ID=796975&GUID=BE542EB0-723A-41CC-AEE0-151798AA001F,https://madison.legistar.com/View.ashx?M=M&ID=796975&GUID=BE542EB0-723A-41CC-AEE0-151798AA001F,7/27/2020,11:54,0 days 02:32:00.000000000,Alder Workgroup to Develop Logistics and Operational Details for MPD Independent Civilian Oversight
915 2619 5867,"Finance Committee: Meeting of July 27, 2020",4:30:00 PM,2020-07-27 15:28:00,2020-07-27 17:38:00,2:09:48,50,Yes,https://madison.legistar.com/View.ashx?M=A&ID=726508&GUID=49AAC152-C1E5-4EAC-8AE3-8E934F487555,https://madison.legistar.com/View.ashx?M=M&ID=726508&GUID=49AAC152-C1E5-4EAC-8AE3-8E934F487555,7/27/2020,15:28,0 days 02:10:00.000000000,Finance Committee
925 7329 5120,"Sustainable Madison Committee: Meeting of July 27, 2020",4:30:00 PM,2020-07-27 16:13:00,2020-07-27 19:00:00,2:46:14,28,No,https://madison.legistar.com/View.ashx?M=A&ID=649137&GUID=F00B12ED-1E27-4F3C-958D-735F9DED174E,https://madison.legistar.com/View.ashx?M=M&ID=649137&GUID=F00B12ED-1E27-4F3C-958D-735F9DED174E,7/27/2020,16:13,0 days 02:47:00.000000000,Sustainable Madison Committee
948 3124 2864,"Plan Commission: Meeting of July 27, 2020",5:30:00 PM,2020-07-27 16:33:00,2020-07-27 23:11:00,6:38:14,95,Yes,https://madison.legistar.com/View.ashx?M=A&ID=724491&GUID=8EE66FD0-94CC-4D87-A9F1-FD2303FD4D09,https://madison.legistar.com/View.ashx?M=M&ID=724491&GUID=8EE66FD0-94CC-4D87-A9F1-FD2303FD4D09,7/27/2020,16:33,0 days 06:38:00.000000000,Plan Commission
912 8792 1449,"Water Utility Board:  Meeting of July 28, 2020",4:30:00 PM,2020-07-28 16:04:00,2020-07-28 18:32:00,2:28:03,27,Yes,https://madison.legistar.com/View.ashx?M=A&ID=721270&GUID=1280D508-FB49-449B-9592-325790DE9D4E,https://madison.legistar.com/View.ashx?M=M&ID=721270&GUID=1280D508-FB49-449B-9592-325790DE9D4E,7/28/2020,16:04,0 days 02:28:00.000000000,Water Utility Board
945 8822 7379,"Public Safety Review Committee Policy Subcommittee: Meeting of July 28, 2020",,2020-07-28 17:39:00,2020-07-28 19:28:00,1:49:34,17,Yes,,,7/28/2020,17:39,0 days 01:49:00.000000000,Public Safety Review Committee
